author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,sum
Yi Ban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Jun Yong,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jocelyn F Hafer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Yaping Wang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Holly McDonough,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Chongqiang Zhao,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Changrun Guo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Rami A Namas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Qiuming He,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Su Hyun Hong,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Fang Leng,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Brooke A Anderson,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Katja Klein,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Fuchao Yu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xiulan Xie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Erandi K De Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Chuan-Huizhi Chen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Wendy J Heiger-Bernays,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Li-Jiau Huang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Shahar Alon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Carles Rodriguez,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Christina Nadolny,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Gabe J Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Shan Zha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Gayle Gordillo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Zhiqiang Qu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Evgenios Neofytou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Annechien E G Haarman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Joshua I Barzilay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bhagya C Thimmappa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yunlai Lv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
David Crossman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Denis Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Dana L Ruter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Guanchen Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yuhua Zhang,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Guixiu Shi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
James E Galvin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sandra L Leibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jessica L Feig,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Huiwei Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Hollis T Cline,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Hu Wang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Xinyi Leng,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jiyu Ju,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Huamin Xu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Krystle Reiss,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shijia Zhang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Fu-Rong Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ding Lu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ziqiang Guan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zhening Xu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Devin W McBride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yiwen Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Christina A Welsh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Shannon C Kenney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Markus A de Jong,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Syed Ah Zaidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jitin Singla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Leonardo Almeida,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Laura M Ensign,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Weiqiu Li,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
David Q Shih,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Santosh Kumar Paidi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Henry H Shin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ethan M Lange,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Martina Tholen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ruoyan Li,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Jianpeng Ma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bhaba K Das,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alexandre Arcaro,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Chung-Hao Liu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adam W Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Janet L Stanford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Pietro De Camilli,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Guolian Ding,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Haixin Lin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Willem A Kernkamp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Xiuyan Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Nga T Nguyen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yuling Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Kenneth K Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Jingcai He,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Junying Han,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Dongfeng Feng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Xixi Zhou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Erica A Voss,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Megan L Peach,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Y Ke,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Devan N Cumpston,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Fang-Fei Wei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mark Rogers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Hongji Yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Gaurav Arya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Athula Sumathipala,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dustin C Frost,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shital M Patel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Youfu Wang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nathan M Petro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Thomas Schrepfer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Cailin Zhu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Brian G Leroux,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
David Troilo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Dwight Romanovicz,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Cameron P J Hunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chen Hua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xingjun Meng,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Sarah I Daniels,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Youseff Ali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Nicholas S Downing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Zhuoer Xie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Ashraf S Ibrahim,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Anugraha Rajagopalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
John Kisiday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fuyong Jiao,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Adam Southon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Zhao Ma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Zilong Wang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Shuangcheng He,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Zhiliang Xu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Brenda W Gillespie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cecile Nasarre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bosheng Li,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Weilong Zhang,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Luke J Dillard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Liyan Hu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Yang Bian,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Zhaojin Cao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Alisa M Posner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Naiqian Zhang,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Spiro P Pantazatos,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
John D Hader,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Chaoxia Zou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tara L Rasmussen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Lina Ren,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nitya Sai Reddy Satyavolu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Libo Su,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Haihang Ye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Han Qu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Pavan Tiruveedhula,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Trinidad Virues-Alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Grant Scull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jan Huisken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Andrew C Daly,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Amanda M Fretts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Damien Magis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jessica Jeang,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Oren Civier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fushan Gao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jinmei Zhu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Xingwang Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Joseph R Brown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Xiu-Rong Ren,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bianca Brugo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Huiting Wei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Edward F Chang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Dengke Pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xiaojian Gui,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Steven Ballet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Lu Zheng,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Michelle L Manni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dongdong Chen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jessica J Sher,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Alex M Muthengi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Alberto Priori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yanjun Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
TingFang Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jiangeng Huang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Chailu Que,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Przemys&#x142;aw R Kac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Conor Steuer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
James Mackle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Timothy J Buschman,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ying Rui Li,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mark Hamrick,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Michelle Embry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Xufeng Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Qiang Qu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Qingjing Zhu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Jay Liu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bruce P Lanphear,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Cheng-Jian Tan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
H Diessel Duan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Mei-Yan Gao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tamara Adams,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chenfei Ye,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Lili Dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bernardo Gutierrez,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yunfei Wen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Zhijun Zhuang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Yazhen Huo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Victoria A Blaho,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Zhiyi Lv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Wei R Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Irene Cumplido-Mayoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Chu-Fang Chou,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Alise J Ponsero,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
William J Lane,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Xiaowen Tang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Xuebing Wu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Jelena Gligorijevic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Kazuki Takeishi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Changli Qian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Robert Chunhua Zhao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Wan-Chi Su,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yongming Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
M Zhou,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Saundra Clausen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Wenxian Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Shan Huang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Yanshan Song,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Yidi Wang,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Manfred Boehm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Felix Aikhionbare,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Apoorva Uboveja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Alexander Sedykh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Hsuan Yi Wu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Xiangfeng Liu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zhihui Yang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Young Sun Kang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ming Hua Li,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Christa F Honaker,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Srdjan D Antic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dongsheng Yue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Junjie Deng,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Elizabeth S DeLyria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
S Hadjiloucas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gengze Wu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Shenglan Jia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Kunlin Cao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ruoke Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Tijda Argun,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
James L Bachman,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yuanjun Liu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Yuxin Hu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Ryosuke Ishida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Samantha Gokhale,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Alessandro Bonfini,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Geoffrey Hollett,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Danielle Feldman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Eleni Vasilopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chul Han,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ebenezer N Yamoah,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Heba Saleh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ruiqing Dong,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Shengming Dai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Lynda K McGinnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Divya Lenkala,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Yuanjie Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Kriti Acharya,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Xubo Gao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Xiaoxia Wang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Anirudh K Singh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
John E Speich,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Benjamin D Sellers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Yun Lan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Efstratios N Pistikopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Gladys E Lopez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Lan Wei-LaPierre,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Yudong Li,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Angelica Clavijo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Weigang Cui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nora I Perrone-Bizzozero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xiasheng Guo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Michael Gardner,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Uchechi E Ukaegbu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jody Hey,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Xiaojian Zhang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Xiang Yan Chen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
X Mai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Daniel O'Connor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Zhengui Zheng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Zhenwei Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Marta P&#xe9;rez-Hern&#xe1;ndez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Russell P Valle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Sara Gharabaghi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Leqing Qu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Jianang Li,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
James Cheng-Chung Wei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
C Jake Harris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Monica M Burdick,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Margaret Dayhoff-Brannigan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Paola Sebastiani,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Tsukasa Funane,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Shulin Li,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gao-Jun Teng,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Robert V Brown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Lee Makowski,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Joyce Y Huang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Qianming Bai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Michael B Orr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bi-Cheng Liu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mark A Lawson,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Chunhua Chen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
