author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,sum
Li Liu,0,0,0,0,0,0,1,0,4,3,3,0,0,1,1,0,0,0,13
Xiao Wang,0,0,0,0,0,0,0,0,0,1,2,0,1,3,3,2,1,0,13
Olaf Wiest,0,0,0,0,0,0,0,0,3,5,2,1,0,1,0,1,0,0,13
Pu Chun Ke,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,1,3,0,13
Yan Zhao,0,0,0,0,0,0,0,1,3,1,2,1,1,2,0,0,2,0,13
Bo Zhang,0,0,0,0,0,0,0,0,5,0,2,2,2,1,0,1,0,0,13
Fuming Zhang,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,5,0,0,13
Jing Huang,0,0,0,0,0,0,0,0,1,0,3,1,1,2,3,2,0,0,13
Jianhua Wang,0,0,0,0,0,0,0,1,2,1,2,2,3,0,1,0,1,0,13
Jin Liu,0,0,0,0,0,0,1,2,3,2,1,0,1,0,1,2,0,0,13
Fei Li,0,0,0,0,0,0,0,0,3,0,1,4,3,2,0,0,0,0,13
Weitao Yang,0,0,0,0,0,0,0,0,0,2,0,4,3,2,0,2,0,0,13
Yue Wang,0,0,0,0,0,0,1,1,3,1,1,1,1,0,0,2,1,1,13
Rui Zhang,0,0,0,0,0,0,0,1,0,0,2,0,2,1,5,0,2,0,13
Scott Adkins,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,7,0,13
Zening Fu,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5,1,2,0,13
Bogdan Barnych,0,0,0,0,0,0,0,0,0,0,1,1,7,2,0,0,1,1,13
Jing Wu,0,0,0,0,0,0,0,1,1,2,2,3,1,1,0,2,0,0,13
Yi Zhang,0,0,0,0,0,0,0,1,3,1,2,0,1,2,0,0,2,1,13
Zhaofu Qiu,0,0,0,0,0,0,0,0,1,2,3,1,5,1,0,0,0,0,13
Qian Sui,0,0,0,0,0,0,0,0,1,2,3,1,5,1,0,0,0,0,13
Jun Yang,0,0,0,0,0,0,0,0,1,0,2,2,3,2,0,2,1,0,13
Gang Liu,0,0,0,0,0,0,0,1,1,2,1,0,3,2,1,1,1,0,13
Feng Li,0,0,0,0,0,0,0,2,1,0,3,1,3,1,1,1,0,0,13
Hui Chen,0,0,0,0,0,0,0,0,1,1,2,2,1,0,2,3,0,1,13
Nongjian Tao,0,0,0,0,0,0,0,0,1,2,1,3,3,0,3,0,0,0,13
Feng Liu,0,0,0,0,0,0,0,1,2,1,2,2,0,0,3,1,1,0,13
Chao Wang,0,0,0,0,0,0,0,0,0,1,3,3,1,2,0,1,2,0,13
Robert J Linhardt,0,0,0,0,0,0,0,0,3,3,1,1,0,0,1,4,0,0,13
Lu Zhang,0,0,0,0,0,0,1,2,1,1,0,1,2,0,2,1,1,1,13
Feng Chen,0,0,0,0,0,0,1,3,0,2,1,1,1,1,0,2,0,1,13
Chang Liu,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,0,0,13
Zhanwei Du,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1,12
Peng Zhang,0,0,0,0,0,0,0,1,2,0,3,1,1,3,0,0,1,0,12
Yunze Yang,0,0,0,0,0,0,0,0,1,1,0,2,3,0,4,1,0,0,12
Xiao-Ou Shu,0,0,0,0,0,0,1,3,3,0,0,1,0,0,0,0,2,2,12
Todd E Barnhart,0,0,0,0,0,0,0,0,0,3,3,2,3,1,0,0,0,0,12
Bo Liu,0,0,0,0,0,0,0,1,1,0,1,0,0,3,3,2,1,0,12
Ala Nozari,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,7,0,12
Lu Lu,0,0,0,0,0,0,0,1,1,3,1,2,0,1,1,1,1,0,12
Barry R O'Keefe,0,0,0,0,0,0,0,0,0,1,3,3,2,0,2,0,1,0,12
Jun Xu,0,0,0,0,0,0,0,1,0,1,4,0,4,1,0,1,0,0,12
Hao Liu,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,1,1,0,12
Frank J Gonzalez,0,0,0,0,0,0,0,1,1,1,3,2,3,1,0,0,0,0,12
Xin Hong,0,0,0,0,0,0,0,1,0,0,2,1,3,3,0,0,2,0,12
Yu Liu,0,0,0,0,0,0,0,1,0,1,1,2,1,2,0,3,1,0,12
Wei Jia,0,0,0,0,0,0,0,0,1,4,3,1,2,1,0,0,0,0,12
Christophe Morisseau,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,5,0,12
Zhe Wang,0,0,0,0,0,0,0,1,1,3,2,2,2,0,0,1,0,0,12
Kyoko Nakagawa-Goto,0,0,0,0,0,0,0,0,0,3,2,4,2,1,0,0,0,0,12
Natalia Vasylieva,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,1,0,12
Zhixuan Zhou,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,12
Ming Wang,0,0,0,0,0,0,0,0,0,1,2,1,5,3,0,0,0,0,12
Barry P Rosen,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4,0,1,1,12
Bing Xu,0,0,0,0,0,0,0,0,1,1,1,0,3,2,3,0,1,0,12
Wei Huang,0,0,0,0,0,0,0,4,0,0,1,1,1,3,1,0,1,0,12
Shuangge Ma,0,0,0,0,0,0,0,2,0,1,5,0,1,0,0,1,2,0,12
Jianhui Zhu,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,2,1,0,11
Jian Liu,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,1,1,11
Ting Zhang,0,0,0,0,0,0,0,1,0,0,2,0,3,2,0,1,2,0,11
Zhen Li,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,0,11
Jiali Gao,0,0,0,0,0,0,0,1,2,2,4,0,0,0,2,0,0,0,11
Hong Li,0,0,0,0,0,0,0,2,1,1,2,4,0,0,1,0,0,0,11
Jie Lu,0,0,0,0,0,0,0,1,1,0,1,3,3,0,1,0,1,0,11
Hai Ming,0,0,0,0,0,0,0,0,2,2,1,4,2,0,0,0,0,0,11
Yi Liu,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,2,1,0,11
Jayaram K Udupa,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,1,1,11
Cuichen Wu,0,0,0,0,0,0,0,1,4,3,1,2,0,0,0,0,0,0,11
Yihan Shao,0,0,0,0,0,0,0,0,1,1,1,0,0,2,4,1,1,0,11
Liwang Cui,0,0,0,0,0,0,0,1,1,3,1,1,0,4,0,0,0,0,11
Drew A Torigian,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,1,1,11
David M Lubman,0,0,0,0,0,0,0,1,1,2,1,0,1,2,1,1,1,0,11
Wei Xu,0,0,0,0,0,0,0,1,2,0,2,2,1,1,0,1,1,0,11
Peng Wang,0,0,0,0,0,0,0,0,1,0,1,2,1,0,4,0,2,0,11
Lei Zhu,0,0,0,0,0,0,0,1,2,3,2,1,0,0,1,1,0,0,11
Yan Sun,0,0,0,0,0,0,0,0,1,0,0,5,2,0,1,0,2,0,11
Tuo Zhang,0,0,0,0,0,0,1,1,3,0,1,1,2,0,0,0,1,1,11
Ping Zhou,0,0,0,0,0,0,0,2,2,1,1,3,0,1,0,1,0,0,11
Qiang Zhang,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,0,0,11
Liping Qiu,0,0,0,0,0,0,0,0,3,1,1,2,4,0,0,0,0,0,11
Yu-Tang Gao,0,0,0,0,0,0,0,2,4,1,1,2,0,0,0,0,1,0,11
Gang Li,0,0,0,0,0,0,0,2,2,0,2,1,0,1,1,1,1,0,11
Fei Liu,0,0,0,0,0,0,0,0,2,1,3,0,1,2,0,1,1,0,11
Min Wang,0,0,0,0,0,0,0,1,1,2,2,0,0,2,1,1,1,0,11
Liqin Zhang,0,0,0,0,0,0,0,0,5,1,3,2,0,0,0,0,0,0,11
